date,rating,role,location,title,body,pros,cons,work_life_balance,pay_and_benefits,job_security,management,culture
2025년 3월 26일,5,Apple Specialist (현 직원),Sulzbach,Ein wirklich toller und Gesunder arbeitsplatz,"Ich bin wirklich happy, hier zu arbeiten. Diversity und Respekt werden nicht nur betont, sondern auch im Alltag gelebt – sei es beim Hiring oder im Umgang miteinander. Wir haben eine offene Kultur, sind alle per Du und können uns aufeinander verlassen.

Es gibt keine strengen Hierarchien, sondern ein Leadership-Team, das unterstützt und auf Augenhöhe agiert. Das Arbeitsklima ist gesund und angenehm, und die Aufgaben sind gut machbar. Wenn es mal schwierig wird, bekommt man immer Hilfe.

Auch Feedback ist ein wichtiger Teil der Kultur – ehrlich, respektvoll und mit guter Intention. Und was ich besonders schätze: Der Arbeitgeber unterstützt in vielen Bereichen, ob Gesundheit, Freizeit oder auch in schwierigeren Zeiten.

Alles in allem ein wirklich guter Arbeitsplatz.",Benefit package is stellar. Great coworkers.,"Raises are mediocre, Management likes to keep you in a box, Hard to advance or move into another role or department, No bonuses unless you have a corp role, Pay is mediocre",,,,,
2025년 3월 26일,5,Apple Specialist (현 직원),Sulzbach,Ein wirklich toller und Gesunder arbeitsplatz,"Ich bin wirklich happy, hier zu arbeiten. Diversity und Respekt werden nicht nur betont, sondern auch im Alltag gelebt – sei es beim Hiring oder im Umgang miteinander. Wir haben eine offene Kultur, sind alle per Du und können uns aufeinander verlassen.

Es gibt keine strengen Hierarchien, sondern ein Leadership-Team, das unterstützt und auf Augenhöhe agiert. Das Arbeitsklima ist gesund und angenehm, und die Aufgaben sind gut machbar. Wenn es mal schwierig wird, bekommt man immer Hilfe.

Auch Feedback ist ein wichtiger Teil der Kultur – ehrlich, respektvoll und mit guter Intention. Und was ich besonders schätze: Der Arbeitgeber unterstützt in vielen Bereichen, ob Gesundheit, Freizeit oder auch in schwierigeren Zeiten.

Alles in allem ein wirklich guter Arbeitsplatz.","Rabatte, kostenlose Sevices, Konstenübernahmen",,,,,,
2025년 3월 26일,3,Operations Specialist (전 직원),,ehhh honestly great benefits but work environment sucks,maybe it was just my store but operations was the smallest team in charge of the most important thing which is inventory. criminally understaffed and management doesn’t get it,,,,,,,
,,,,Great place except for the politics,Apple is a great place to work with wonderful benefits. They treat you fairly overall. Great employee purchase discount and stock purchases. I really enjoyed my time there overall.,,,,,,,
2025년 3월 25일,5,Sales Specialist (전 직원),"Staten Island, NY",Amazing,"Working at Apple is truly an amazing experience. You get to work with some of the nicest people on earth—supportive, encouraging, and always willing to help. The client base is incredibly diverse, ranging from students and teachers to entry-level professionals and CEOs. Whether it’s someone buying their first Apple product or a dedicated Apple fanatic, you’ll encounter all kinds of customers.

Work-life balance is great, depending on the season. Getting days off is usually hassle-free, and if shifts are available, you can pick up extra hours. Apple genuinely cares about its employees’ well-being and encourages you to pursue what makes you happy.

5/5",,,,,,,
2025년 3월 25일,4,Specialist (전 직원),"Bloomington, MN",Pretty good,I love apple products and have used them in many aspects of my everyday life for many many years. I love their customer service. Having now worked for them as a seasonal employee. I can say they are a great company in many ways to work for and I would work for them again if given the chance.,,,,,,,
2025년 3월 25일,4,Project Manager (전 직원),"San Marcos, TX",Average,"The culture is amazing. Very open and there are numerous groups to be involved with.

If you are in tech support, day to day can be difficult dealing with difficult customers who have a huge sense of entitlement. Often times the company allows them to act out and will not back you in decisions.

Apple will also keep you in a box if you are in technical support. You are promised lots of things like advancement, growth, it never happens.

Once you get out and are in a corporate position, things are much better.",Benefit package is stellar. Great coworkers.,"Raises are mediocre, Management likes to keep you in a box, Hard to advance or move into another role or department, No bonuses unless you have a corp role, Pay is mediocre",,,,,
2025년 3월 24일,4,Specialist (전 직원),"Boston, MA","Go go and go. If you like retail like that, then, this is for you","Apple wants you to give an amazing experience to their customers and show them the magic of Apple products. Except, there is one issue, if you go over your allotted 15 minutes with the customer you start getting managers, walking around you to hurry you up and it destroys the experience for everyone.

Pay isn't great for how big this company is. Only creatives make a good salary.",,,,,,,
2025년 3월 24일,5,Delivery Driver (전 직원),Canada,Working at [Apple]: A Year in Review,"Spending a year working at Apple was a valuable and eye-opening experience. With a full-time schedule from 7 AM to 4 PM, five days a week, the job offered stable hours and a competitive wage of $22 per hour.

One of the biggest highlights of working at Apple was the company culture. Team collaboration, open communication, and a strong emphasis on inclusion and diversity made the work environment feel supportive and inspiring. Apple encourages innovation at every level, and even as a front-line employee, I felt like my contributions mattered.",,,,,,,
,,,,As good as it gets for retail,"For a retail job it’s great. You get benefits, decent pay, and is constantly changing so you never get bored.",,,,,,,
2025년 3월 23일,5,Volt Temp (전 직원),"Sacramento, CA",Best job I had,They are very outstanding I love this job the benefits from the job they are very leanings. It’s a very easy task and instructions you have to follow in order to get the task done,,,,,,,
2025년 3월 23일,5,At Home Advisor (전 직원),Remote,Productive and Amazing Workplace,"Loved working here during my University years! Excellent pay and my coworkers, manager and basically everyone I met during my time were so sweet and supportive. They always give you the opportunity for internships and growing within the company. I learned a lot about Apple products (as well as some Windows software which was cool) and can 100% recommend this job to any Uni student that comes across this opportunity. Great opportunity",,,,,,,
,,,,Decent place of work,"Good benefits and a decent place to work. I enjoy the time off and the many resources provided to employees. However, there’s very little room for growth on the retail side.",,,,,,,
2025년 3월 21일,4,Technical IOS Advisor (전 직원),Remote,Supportive but demanding job,"The management is really supportive when it comes to working remotely, however for the remuneration, it is a lot of work.

As a tech advisor, day to day life can get a little bit repetitive",,,,,,,
2025년 3월 21일,4,Sales Specialist (전 직원),"Edison, NJ",Great coworkers but crazy work politics,"leadership only provided help to those they favorited. Everyone else was forgotten and looked down upon. It’s unfortunate because you mean such great people, but store manager needs to be changed",,,,,,,
,,,,Management could be better,"Micromanaging, management doesn’t know how to do anything. Over worked but not enough pay. Benefits are good though, and fun event for employees. Overall ok",,,,,,,
2025년 3월 18일,5,Specialist (전 직원),"Southlake, TX",Great with the right team.,Great job overall and probably the only retail job I would do again. The store has alot of moving parts so in order to work efficiently everyone has to lock in. Overall fab place to work.,,,,,,,
2025년 3월 18일,5,Sr. Advisor (현 직원),Remote,Great,"Limited promotion for at home advisors, great benefits, pay is great. Vacation and sick time are average, no bonuses unless you are in high, high management",,,,,,,
,,,,overall great work,overall a great employer. i was on the corporate side which treated me well. benefits were great. work life balance was semi ok. the pay could have been so much better,,,,,,,
2025년 3월 17일,4,Engineer (전 직원),,"Fun, Productive, Enriching Work","Loved my work period. Strong, motivated coworkers and leaders made for a sharp environment. Definitely learned a lot and felt supported during my time.",,,,,,,
,,,,very open,"pros great working environment overall, very supportive and fun people.
cons its difficult to become a full-time permanent employee and not a vendor/contractor.",,,,,,,
2025년 3월 17일,5,Phone Representative (현 직원),,Fun place to work,This has been a great company to work for. Flexible and pay has been higher than average. Hope to continue to work for them for several more years to come.,Mucho aprendizaje en atención al cliente,Tiempos de descanso cortos,,,,,
2025년 3월 17일,5,Phone Representative (현 직원),,Fun place to work,This has been a great company to work for. Flexible and pay has been higher than average. Hope to continue to work for them for several more years to come.,,,,,,,
