date,role,employment_type,role_grouped,rating,location
2025-03-26,Apple Specialist,현직자,Product / Design,5.0,Sulzbach
2025-03-26,Apple Specialist,현직자,Product / Design,5.0,Sulzbach
2025-03-26,Operations Specialist,전직자,Product / Design,3.0,
2025-03-25,Sales Specialist,전직자,Product / Design,5.0,"Staten Island, NY"
2025-03-25,Specialist,전직자,Product / Design,4.0,"Bloomington, MN"
2025-03-25,Project Manager,전직자,Management / PM,4.0,"San Marcos, TX"
2025-03-24,Specialist,전직자,Product / Design,4.0,"Boston, MA"
2025-03-24,Delivery Driver,전직자,Others,5.0,Canada
2025-03-23,Volt Temp,전직자,Others,5.0,"Sacramento, CA"
2025-03-23,At Home Advisor,전직자,Customer Support,5.0,Remote
2025-03-21,Technical IOS Advisor,전직자,Customer Support,4.0,Remote
2025-03-21,Sales Specialist,전직자,Product / Design,4.0,"Edison, NJ"
2025-03-18,Specialist,전직자,Product / Design,5.0,"Southlake, TX"
2025-03-18,Sr. Advisor,현직자,Customer Support,5.0,Remote
2025-03-17,Engineer,전직자,Engineering,4.0,
2025-03-17,Phone Representative,현직자,Retail / Sales,5.0,
2025-03-17,Phone Representative,현직자,Retail / Sales,5.0,
2025-03-14,iPhone Repair Technician,전직자,Engineering,1.0,"New Albany, IN"
2025-03-14,Sales Specialist,전직자,Product / Design,1.0,"Glasgow City Centre, Glasgow"
2025-03-13,Specialist,전직자,Product / Design,5.0,
2025-03-12,Desktop Support Engineer,전직자,Engineering,4.0,"Sunnyvale, CA"
2025-03-12,Sales Expert,전직자,Retail / Sales,4.0,"Syracuse, NY"
2025-03-12,Especialista en ventas,전직자,Product / Design,5.0,
2025-03-11,Manager,전직자,Management / PM,4.0,"Los Angeles, CA"
2025-03-10,UX Designer,전직자,Product / Design,5.0,California
2025-03-09,Sales and Customer Service Specialist,현직자,Product / Design,5.0,"Waterloo, ON"
2025-03-08,Call Center Customer Service Representative,전직자,Customer Support,5.0,"Arizona City, AZ"
2025-03-07,Manager,현직자,Management / PM,5.0,Dublin
2025-03-07,Specialist,전직자,Product / Design,5.0,"Calgary, AB"
2025-03-06,Apple service,전직자,Customer Support,5.0,"Bellevue, WA"
2025-03-06,AppleCare,전직자,Customer Support,3.0,"Ocala, FL"
2025-03-06,AppleCare,전직자,Customer Support,3.0,"Ocala, FL"
2025-03-06,Technical Support,전직자,Customer Support,2.0,Remote
2025-03-05,Sales Assistant,전직자,Retail / Sales,5.0,
2025-03-04,Technical Specialist II,전직자,Product / Design,4.0,"Grand Rapids, MI"
2025-03-04,Machine Learning Engineer,전직자,Engineering,4.0,"Seattle, WA"
2025-03-03,Specialist,현직자,Product / Design,5.0,"Carlsbad, CA"
2025-03-03,Sales Representative,전직자,Retail / Sales,5.0,Remote
2025-03-03,Seasonal Product Specialist,전직자,Product / Design,5.0,"Short Hills, NJ"
2025-02-28,Specialist,전직자,Product / Design,5.0,Southampton
2025-02-28,Advertising/Partner Marketing Finance Geo Lead | WW Sr. Financial Analyst,현직자,Management / PM,5.0,"Cupertino, CA"
2025-02-27,Specialist,전직자,Product / Design,5.0,"New York, NY"
2025-02-27,Spécialiste,전직자,Others,1.0,Saint-Laurent-du-Var (06)
2025-02-26,Sales Assistant,전직자,Retail / Sales,5.0,"Birmingham, West Midlands"
2025-02-26,Genius,현직자,Customer Support,4.0,"Paramus, NJ"
2025-02-26,T2 media services,전직자,Product / Design,2.0,Remote
2025-02-26,Advisor Concentrix,현직자,Customer Support,1.0,"Farmington Hills, MI 48331"
2025-02-25,Technical Support,전직자,Customer Support,4.0,"New York, NY"
2025-02-25,asesor de ventas,현직자,Others,4.0,"Culiacán, Sin."
2025-02-25,Customer Service,전직자,Customer Support,5.0,New South Wales
2025-02-24,Lead Hardware Engineer,현직자,Engineering,4.0,"Cupertino, CA"
