Company,직무,리뷰2 전체평점,경영진,동료,환경,복지,임금,성장 가능성,기업문화,일처리방식,리뷰1 전체 평점,전체 평점
Apple,Customer Support,3.893617021276596,3.6382978723404253,3.9574468085106385,3.5106382978723403,3.702127659574468,3.127659574468085,2.851063829787234,3.5531914893617023,3.3617021276595747,3.8392857142857135,3.8664513677811545
Apple,Employee,4.052197802197802,4.241758241758242,4.516483516483516,4.016483516483516,4.258241758241758,3.8956043956043955,3.60989010989011,4.027472527472527,4.1923076923076925,4.052197802197802,4.052197802197802
Apple,Engineering,4.340909090909091,3.8181818181818183,4.075757575757576,3.742424242424242,3.8636363636363638,3.6818181818181817,3.4545454545454546,3.757575757575758,3.878787878787879,4.168269230769231,4.254589160839161
Apple,Expert,4.333333333333333,4.666666666666667,5.0,4.833333333333333,5.0,4.333333333333333,4.666666666666667,4.666666666666667,4.666666666666667,3.888888888888889,4.111111111111111
Apple,Finance / Analyst,4.5,2.7777777777777777,2.7777777777777777,2.3333333333333335,2.5555555555555554,2.5555555555555554,2.2222222222222223,2.4444444444444446,2.4444444444444446,3.875,4.1875
Apple,IT / Infrastructure,4.0,5.0,4.0,2.0,5.0,5.0,2.0,3.0,5.0,4.142857142857143,4.071428571428571
Apple,Internship,4.625,4.5,4.5,5.0,4.75,4.75,4.25,4.5,4.5,4.214285714285714,4.419642857142858
Apple,Management / PM,3.9722222222222223,3.7222222222222223,4.833333333333333,4.111111111111111,4.0,3.7777777777777777,3.6666666666666665,3.7777777777777777,4.111111111111111,4.261363636363637,4.116792929292929
Apple,Marketing,3.948717948717949,3.5641025641025643,4.128205128205129,3.7948717948717947,3.7948717948717947,3.41025641025641,3.0256410256410255,3.717948717948718,3.5641025641025643,4.5,4.2243589743589745
Apple,Others,4.166666666666667,4.666666666666667,4.666666666666667,4.666666666666667,5.0,3.3333333333333335,3.3333333333333335,4.0,4.333333333333333,3.866071428571429,4.0163690476190474
Apple,Product / Design,4.266666666666667,4.533333333333333,4.733333333333333,4.466666666666667,4.733333333333333,4.0,4.0,4.0,4.733333333333333,4.140096618357488,4.203381642512078
Apple,Retail / Sales,4.65,2.4,3.0,2.8,2.6,2.4,2.1,2.9,3.0,4.578947368421052,4.614473684210527
